     0/299     1.51G   0.04917   0.02005   0.03195    0.1012         5       640   0.00461    0.3379   0.00345 0.0005511   0.06421   0.01539   0.03034
     1/299     1.52G   0.04858   0.01702   0.03334   0.09893         7       640   0.03567   0.03785   0.01416  0.002326   0.06824   0.01291   0.03184
     2/299     1.52G   0.04602    0.0153   0.03056   0.09187         5       640    0.6213   0.07307   0.06322    0.0117   0.06204   0.01275   0.02583
     3/299     1.52G   0.04688    0.0155   0.02939   0.09177         4       640    0.1156     0.321   0.04803  0.007879   0.05695    0.0128   0.02481
     4/299     1.52G   0.04362   0.01552   0.02688   0.08601         5       640    0.2898    0.1706   0.04196   0.00882   0.05869   0.01223   0.02387
     5/299     1.52G   0.04163   0.01514    0.0259   0.08267         4       640    0.1726    0.5269    0.1789   0.04179   0.06585   0.01242   0.02687
     6/299     1.52G   0.04252    0.0154   0.02586   0.08378         3       640    0.8183   0.09014   0.07892   0.01751   0.06557    0.0115    0.0337
     7/299     1.52G   0.03983   0.01498   0.02328   0.07809        13       640    0.2495      0.32    0.1726   0.04215   0.05704   0.01312   0.02578
     8/299     1.52G   0.03913   0.01529   0.02153   0.07595         4       640    0.1823    0.2489    0.1257   0.03094   0.05387   0.01415   0.02323
     9/299     1.52G   0.03769   0.01584   0.02232   0.07584         5       640    0.2462    0.4757    0.2583   0.07253   0.05173    0.0133   0.02082
    10/299     1.52G   0.04005   0.01589   0.02184   0.07777         8       640    0.3392     0.498    0.3477    0.1088   0.05052   0.01259    0.0188
    11/299     1.52G   0.03762   0.01561   0.01973   0.07296        14       640    0.4568    0.4092    0.3897    0.1359   0.04901   0.01218   0.01877
    12/299     1.52G   0.03242   0.01544   0.01815   0.06602         5       640     0.483    0.5685    0.5357    0.2154   0.04626   0.01189   0.01891
    13/299     1.52G   0.03366   0.01507   0.01904   0.06777         7       640    0.4596     0.531    0.5029    0.1805   0.04833   0.01192   0.01712
    14/299     1.52G   0.03431   0.01512   0.01808   0.06751         3       640    0.4789    0.6259    0.5429    0.1918   0.04622   0.01124   0.01653
    15/299     1.52G   0.03052   0.01504   0.01755   0.06311         7       640    0.5503    0.5797    0.5972    0.2709    0.0435   0.01149   0.01982
    16/299     1.52G   0.03028   0.01478   0.01681   0.06187        10       640      0.65    0.6019    0.6434    0.2639   0.04553   0.01116   0.01731
    17/299     1.52G   0.03154   0.01503   0.01802   0.06459         4       640    0.5974    0.6262    0.6283    0.2634   0.04869   0.01106   0.02242
